1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.999999986814169795e-01
3.000000000000000000e+00,9.999999947256674737e-01
4.000000000000000000e+00,9.999999881327521489e-01
5.000000000000000000e+00,9.999999789026706720e-01
6.000000000000000000e+00,9.999999670354229320e-01
7.000000000000000000e+00,9.999999525310093729e-01
8.000000000000000000e+00,9.999999353894296616e-01
9.000000000000000000e+00,9.999999156106842424e-01
1.000000000000000000e+01,9.999998931947735592e-01
1.100000000000000000e+01,9.999998681416969459e-01
1.200000000000000000e+01,9.999998404514548467e-01
1.300000000000000000e+01,9.999998101240478166e-01
1.400000000000000000e+01,9.999997771594759666e-01
1.500000000000000000e+01,9.999997415577390747e-01
1.600000000000000000e+01,9.999997033188372519e-01
1.700000000000000000e+01,9.999996624427717196e-01
1.800000000000000000e+01,9.999996189295420335e-01
1.900000000000000000e+01,9.999995727791480826e-01
2.000000000000000000e+01,9.999995239915910883e-01
2.100000000000000000e+01,9.999994725668708284e-01
2.200000000000000000e+01,9.999994185049877471e-01
2.300000000000000000e+01,9.999993618059420664e-01
2.400000000000000000e+01,9.999993024697342303e-01
2.500000000000000000e+01,9.999992404963643500e-01
2.600000000000000000e+01,9.999991758858334245e-01
2.700000000000000000e+01,9.999991086381413430e-01
2.800000000000000000e+01,9.999990387532887715e-01
2.900000000000000000e+01,9.999989662312760430e-01
3.000000000000000000e+01,9.999988910721039348e-01
3.100000000000000000e+01,9.999988132757723358e-01
3.200000000000000000e+01,9.999987328422821342e-01
3.300000000000000000e+01,9.999986497716336631e-01
3.400000000000000000e+01,9.999985640638276996e-01
3.500000000000000000e+01,9.999984757188646878e-01
3.600000000000000000e+01,9.999983847367447387e-01
3.700000000000000000e+01,9.999982911174691846e-01
3.800000000000000000e+01,9.999981948610379145e-01
3.900000000000000000e+01,9.999980959674521497e-01
4.000000000000000000e+01,9.999979944367120011e-01
4.100000000000000000e+01,9.999978902688185789e-01
4.200000000000000000e+01,9.999977834637724383e-01
4.300000000000000000e+01,9.999976740215738014e-01
4.400000000000000000e+01,9.999975619422237783e-01
4.500000000000000000e+01,9.999974472257227021e-01
4.600000000000000000e+01,9.999973298720719050e-01
4.700000000000000000e+01,9.999972098812721644e-01
4.800000000000000000e+01,9.999970872533233690e-01
4.900000000000000000e+01,9.999969619882270733e-01
5.000000000000000000e+01,9.999968340859834992e-01
5.100000000000000000e+01,9.999967035465938681e-01
5.200000000000000000e+01,9.999965703700589570e-01
5.300000000000000000e+01,9.999964345563794321e-01
5.400000000000000000e+01,9.999962961055566257e-01
